Period,Estimated Solar Generation (kWh)
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,12.76
16,48.26
17,110.66
18,180.50
19,257.29
20,329.67
21,393.94
22,443.35
23,481.40
24,509.47
25,532.67
26,537.31
27,526.64
28,503.67
29,471.19
30,426.18
31,379.32
32,326.19
33,272.83
34,214.60
35,156.83
36,101.62
37,54.06
38,20.65
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
